Nr.,ZSK1,ZSK2,ZSK3,Vola4,Vola5,Vola6,Verlust7,Verlust8,MR9,MR10,MR11,MR12,MR13,MR14,MR15,MR16,MR17,MR18,MR19,MR20,EM,SCR,Quote
1,0.9220544695854187,0.8370281457901001,0.8093312382698059,0.17824959754943848,0.9015116095542908,0.1791743040084839,0.19134002923965454,0.05688142776489258,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1026603815.8932656,407317806.30912,2.5204000414216106
2,0.6194574236869812,0.1354442834854126,0.7422078251838684,0.895244836807251,0.20365089178085327,0.9133814573287964,0.06684356927871704,0.19599580764770508,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,747858124.8172127,819090033.4282709,0.9130353127202394
3,0.5278131365776062,0.0666271448135376,0.9799092411994934,0.08839058876037598,0.9054636359214783,0.9641932249069214,0.44565826654434204,0.4658017158508301,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1099707225.0205,656137339.8656251,1.6760320716478603
4,0.4718438982963562,0.9220348596572876,0.3511860966682434,0.16206002235412598,0.12195533514022827,0.0022181272506713867,0.26908355951309204,0.18302583694458008,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.35,0.4825,0.37999999999999995,1.0,1,0.6,1543898927.1100368,484770779.56087244,3.1848019563154595
5,0.9405938982963562,0.5157848596572876,0.5699360966682434,0.505810022354126,0.09070533514022827,0.09596812725067139,0.987833559513092,0.026775836944580078,0.20000000000000023,0.10000000000000012,0.7000000000000007,0.7,0.33333333333333326,0.8888888888888888,0.1,0.0305,0.09999999999999998,0.06000000000000005,1,0.7,778138140.0846895,261946582.97088966,2.97059855203824
6,0.7649042010307312,0.6366039514541626,0.4262288212776184,0.280681848526001,0.7348398566246033,0.2573145627975464,0.22254425287246704,0.16639375686645508,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1236820591.6713068,467347285.0905855,2.646470047283093
7,0.0682336688041687,0.0859905481338501,0.9999440312385559,0.7939112186431885,0.49202674627304077,0.09512889385223389,0.38097625970840454,0.6754727363586426,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,0.48,1,0.6,1262011334.9294333,906141184.0618703,1.3927314607557497
8,0.5980340838432312,0.2622143030166626,0.1743977665901184,0.16117501258850098,0.7183603644371033,0.4317530393600464,0.32422882318496704,0.9863400459289551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1446631756.7090445,420710802.3355538,3.438541983419833
9,0.0845300555229187,0.7246013879776001,0.021611511707305908,0.9164087772369385,0.5620340704917908,0.5726069211959839,0.8860421776771545,0.3477749824523926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,468613201.88654935,1031407235.7978296,0.4543435275825466
10,0.1316339373588562,0.5676647424697876,0.5392964482307434,0.22272896766662598,0.06494849920272827,0.7982386350631714,0.006022036075592041,0.5972104072570801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,818151191.6029074,1214053802.543518,0.6739002751680608
11,0.7688409686088562,0.1560436487197876,0.2741597294807434,0.518139123916626,0.6787180304527283,0.4569300413131714,0.529947817325592,0.5254330635070801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1240961371.075165,415027673.9631079,2.9900689735342203
12,0.5251886248588562,0.3870006799697876,0.08128863573074341,0.596752405166626,0.9428781867027283,0.1644495725631714,0.907389223575592,0.8931088447570801,0.95,0.5,1.0,0.0,0.6666666666666666,0.22222222222222215,0.3,0.041499999999999995,0.19333333333333338,0.3999999999999999,1,0.1,1146771219.5916429,314224203.88066906,3.6495317847225572
13,0.1879999041557312,0.6173168420791626,0.7340901494026184,0.607097864151001,0.0055918097496032715,0.6950587034225464,0.15931183099746704,0.6060910224914551,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1033618581.9281316,954822213.1019114,1.0825246498719756
14,0.004451930522918701,0.9648357629776001,0.3009083867073059,0.07851815223693848,0.07570594549179077,0.03159129619598389,0.5090890526771545,0.4786343574523926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1838389752.0591254,1462226216.7940013,1.2572539945904404
15,0.7868921160697937,0.3362652063369751,0.030370056629180908,0.3588831424713135,0.8283609747886658,0.9923762083053589,0.9704843163490295,0.06319856643676758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1089859979.7350278,463007583.90236014,2.353870687277683
16,0.0790368914604187,0.1160808801651001,0.7221730351448059,0.18972420692443848,0.6170877814292908,0.7824457883834839,0.13152557611465454,0.9863247871398926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,768338296.8505192,974028240.3924994,0.7888254826583936
17,0.0235559344291687,0.4700237512588501,0.09784442186355591,0.7502100467681885,0.8731302618980408,0.2018183469772339,0.31090790033340454,0.13567781448364258,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,344818489.3619336,1481029500.4851787,0.23282351178620855
18,0.5266687273979187,0.1481853723526001,0.5008595585823059,0.22866463661193848,0.37526649236679077,0.8829096555709839,0.7051339745521545,0.6404995918273926,0.10000000000000012,0.10000000000000012,0.10000000000000012,0.5000000000000001,0.0,0.1111111111111111,0.9,0.7975,0.0066666666666666844,0.74,1,0.8,1164913497.2349398,636771075.9530177,1.8294070525918322
19,0.5045740008354187,0.5894695520401001,0.05200701951980591,0.9502222537994385,0.08559364080429077,0.1269282102584839,0.8480783104896545,0.5866665840148926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1397969010.2320669,486616074.95802236,2.8728377095899718
20,0.1724817156791687,0.5232464075088501,0.4381764531135559,0.22921395301818848,0.9361185431480408,0.5128535032272339,0.8778024315834045,0.9349942207336426,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1541911835.708986,570868181.5832452,2.7009945298276206
21,0.4946863055229187,0.4941326379776001,0.7130177617073059,0.8421900272369385,0.7846903204917908,0.9046381711959839,0.8899484276771545,0.3360562324523926,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,946560892.105891,725278328.9885404,1.3051001998445853
22,0.6476251482963562,0.3946911096572876,0.9332173466682434,0.415966272354126,0.36023658514022827,0.2873743772506714,0.41361480951309204,0.7494320869445801,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1412920861.523446,425615791.58464766,3.319709675862533
23,0.4190942645072937,0.8146587610244751,0.4701893925666809,0.4144251346588135,0.5367349982261658,0.2422541379928589,0.09585052728652954,0.06209993362426758,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1168911216.9710674,798142502.748616,1.4645394938192249
24,0.4144250750541687,0.5474163293838501,0.11566668748855591,0.9467432498931885,0.5335306525230408,0.4706171751022339,0.7545114159584045,0.05486726760864258,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1134443936.3829062,775411954.3803028,1.4630209528940474
25,0.3091546893119812,0.3163524866104126,0.4494832158088684,0.023418664932250977,0.06912940740585327,0.5669459104537964,0.35615020990371704,0.5780758857727051,0.2500000000000003,0.2500000000000003,0.8999999999999999,0.3,0.0,0.22222222222222215,0.6,0.4825,0.37999999999999995,1.0,1,0.6,1516707189.657757,502135266.0913852,3.0205151720646657
